Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-03,BZFD,5.28,5.57,5.24,5.29,5.29,202300
2022-01-04,BZFD,5.25,5.47,5.13,5.28,5.28,212000
2022-01-05,BZFD,5.24,5.42,5.161,5.21,5.21,135700
2022-01-06,BZFD,5.15,5.24,5.0,5.11,5.11,79300
2022-01-07,BZFD,5.05,5.17,4.88,4.98,4.98,106000
2022-01-10,BZFD,4.92,4.95,4.37,4.39,4.39,386500
2022-01-11,BZFD,4.41,4.7,4.27,4.62,4.62,333600
2022-01-12,BZFD,4.62,4.94,4.5,4.56,4.56,183600
2022-01-13,BZFD,4.52,4.62,4.27,4.39,4.39,132400
2022-01-14,BZFD,4.62,5.0,4.43,4.48,4.48,367000
2022-01-18,BZFD,4.45,4.48,4.31,4.31,4.31,100000
2022-01-19,BZFD,4.32,4.49,4.06,4.14,4.14,211500
2022-01-20,BZFD,4.14,4.339,4.01,4.04,4.04,153100
2022-01-21,BZFD,4.08,4.8,4.01,4.44,4.44,369200
2022-01-24,BZFD,4.35,4.363,4.04,4.15,4.15,206800
2022-01-25,BZFD,4.07,4.21,3.8,3.86,3.86,303900
2022-01-26,BZFD,3.94,3.99,3.69,3.73,3.73,85100
2022-01-27,BZFD,3.72,4.01,3.622,3.84,3.84,89400
2022-01-28,BZFD,3.86,3.98,3.7,3.88,3.88,105800
2022-01-31,BZFD,3.98,4.1,3.81,3.99,3.99,98700
