Open,Adj Close,Intraday_Delta
5.28,5.29,0.009999999999999787
5.25,5.28,0.03000000000000025
5.24,5.21,-0.03000000000000025
5.15,5.11,-0.040000000000000036
5.05,4.98,-0.0699999999999994
4.92,4.39,-0.5300000000000002
4.41,4.62,0.20999999999999996
4.62,4.56,-0.0600000000000005
4.52,4.39,-0.1299999999999999
4.62,4.48,-0.13999999999999968
4.45,4.31,-0.14000000000000057
4.32,4.14,-0.1800000000000006
4.14,4.04,-0.09999999999999964
4.08,4.44,0.3600000000000003
4.35,4.15,-0.1999999999999993
4.07,3.86,-0.2100000000000004
3.94,3.73,-0.20999999999999996
3.72,3.84,0.11999999999999966
3.86,3.88,0.020000000000000018
3.98,3.99,0.010000000000000231
